hold_id,book_id,user_id,hold_date,end_hold_date
228,438,476,2016-11-30 02:33:57.567608,2016-12-13 02:20:10.916577
229,508,983,2018-10-13 15:44:45.165750,2018-10-24 18:07:54.967966
230,863,711,2021-08-28 10:57:17.602257,2021-09-10 22:48:49.202508
231,514,556,2020-10-19 00:21:50.424501,2020-10-24 04:05:13.861904
232,815,695,2020-11-19 00:21:00.284413,2020-11-21 10:30:00.216535
233,967,660,2021-02-27 09:50:44.927949,2021-03-12 12:17:16.272249
234,65,359,2022-05-14 08:54:47.593640,2022-05-23 03:40:31.708742
235,7,13,2017-12-14 11:41:39.809022,2017-12-20 13:27:22.745332
236,648,442,2018-06-14 18:11:58.511945,2018-06-28 09:55:33.822886
237,669,414,2015-05-21 01:12:00.319174,2015-06-03 00:34:53.071698
238,913,52,2015-07-18 21:00:28.179645,2015-07-28 23:38:27.074204
239,902,259,2018-04-23 23:06:20.620051,2018-04-27 09:52:19.001513
240,898,57,2019-09-17 00:25:40.363449,2019-09-20 17:40:59.093621
241,45,47,2019-06-07 20:58:48.012906,2019-06-10 09:41:36.155699
242,261,413,2022-04-29 14:24:31.505748,2022-05-01 19:50:25.678954
243,89,293,2018-01-03 19:57:48.385519,2018-01-04 06:58:52.304924
244,187,865,2016-03-19 19:29:31.729377,2016-04-01 13:36:44.604657
245,974,776,2019-12-22 00:12:12.537369,2019-12-23 07:39:39.380276
246,961,163,2020-07-29 10:35:24.477151,2020-08-10 16:05:48.163433
247,898,510,2018-07-06 11:11:55.743131,2018-07-19 12:12:40.272222
248,503,386,2016-06-13 09:51:20.769482,2016-06-17 15:47:26.458952
249,890,657,2019-10-12 19:15:59.894588,2019-10-26 00:03:38.152439
250,576,27,2016-11-13 20:32:02.791306,2016-11-24 23:22:20.515287
251,303,12,2018-01-29 20:45:47.765023,2018-02-02 05:32:40.196985
252,62,744,2015-08-20 10:38:02.601981,2015-09-01 03:23:05.028697
253,576,786,2021-08-18 23:21:58.999825,2021-08-29 05:18:26.619275
254,162,462,2016-08-13 09:34:21.691209,2016-08-25 17:31:49.331601
255,550,786,2023-03-05 13:28:27.536096,2023-03-18 07:34:32.766680
256,609,945,2020-08-29 09:42:20.758355,2020-09-04 08:13:29.919166
257,374,857,2017-06-11 19:43:07.704027,2017-06-24 00:00:02.891814
258,116,482,2019-05-01 06:06:35.346053,2019-05-13 17:33:17.820146
259,98,902,2020-03-11 23:53:55.159330,2020-03-16 19:18:46.674450
260,256,267,2018-03-25 18:56:50.500837,2018-04-08 05:40:27.843487
261,80,463,2017-05-08 10:04:52.217062,2017-05-16 10:43:52.871167
262,619,399,2018-11-06 04:49:03.644217,2018-11-20 16:12:41.915283
263,810,619,2016-03-07 23:33:26.459255,2016-03-16 22:05:00.294377
264,938,651,2022-02-26 15:44:42.505951,2022-03-07 23:39:07.502970
265,993,856,2019-09-09 04:29:52.376622,2019-09-23 17:14:38.267831
266,707,386,2015-11-06 14:57:46.617840,2015-11-17 20:22:44.090182
267,588,767,2016-11-04 16:05:32.854223,2016-11-08 07:47:20.132154
268,161,933,2019-03-18 09:05:36.219934,2019-03-23 03:39:38.192260
269,208,791,2019-10-22 04:10:37.309940,2019-11-01 16:43:36.653668
270,832,164,2016-08-21 11:46:57.707733,2016-08-25 07:52:17.789402
271,57,591,2018-06-28 01:15:06.362787,2018-07-06 17:55:51.073517
272,171,412,2017-09-03 10:11:53.794662,2017-09-16 06:15:39.593304
273,199,975,2022-03-31 02:39:21.480822,2022-04-09 20:04:52.573803
274,799,564,2017-11-26 11:58:57.860962,2017-12-07 16:59:44.914710
275,170,542,2023-06-30 21:57:09.951530,2023-07-07 03:53:31.978177
276,180,724,2018-11-24 08:50:09.280564,2018-12-06 16:19:57.490453
277,341,611,2018-10-16 10:48:09.444429,2018-10-23 21:05:05.895250
278,654,651,2023-12-23 12:47:32.458151,2023-12-25 12:07:57.655463
279,856,119,2017-07-15 17:49:54.104670,2017-07-26 14:16:27.004311
280,448,4,2017-05-17 10:51:33.926949,2017-05-27 02:16:23.417693
281,470,870,2016-11-26 08:26:14.303531,2016-12-01 06:27:51.919190
282,176,417,2018-01-10 14:32:12.156550,2018-01-23 19:33:59.063633
283,858,710,2019-05-30 07:14:38.022786,2019-06-06 07:13:24.055708
284,890,584,2022-12-30 07:57:12.679621,2023-01-06 17:26:21.435439
285,573,975,2017-04-25 11:39:05.935123,2017-05-08 17:10:17.901889
286,392,599,2021-12-01 17:42:14.384277,2021-12-02 04:20:16.304765
287,812,36,2022-08-31 16:40:18.603667,2022-09-05 10:08:12.444668
288,88,202,2021-06-23 17:20:18.351997,2021-06-28 18:18:14.850910
289,640,379,2023-11-06 14:46:20.349046,2023-11-15 12:12:51.100062
290,209,692,2018-08-15 00:09:51.391714,2018-08-22 00:03:39.264152
291,240,588,2017-09-05 13:07:19.280621,2017-09-19 05:47:43.976359
292,691,533,2019-02-12 03:46:36.795007,2019-02-22 15:00:24.873692
293,755,125,2019-03-03 13:40:41.421738,2019-03-14 10:25:18.735532
294,343,682,2019-05-11 18:10:03.732360,2019-05-14 01:15:27.218816
295,146,909,2020-07-18 05:54:22.385394,2020-07-24 16:12:19.748798
296,923,135,2022-11-26 22:55:31.623892,2022-12-05 21:17:55.185780
297,184,281,2020-11-08 07:06:50.355150,2020-11-11 20:57:21.105289
298,262,822,2022-04-21 18:52:56.309848,2022-04-28 05:20:07.439344
299,663,660,2019-05-23 07:24:45.300514,2019-05-27 04:39:34.028150
300,351,797,2023-07-23 09:23:41.230223,2023-07-24 20:15:29.968193
301,542,145,2019-04-07 02:48:25.183669,2019-04-09 04:38:13.247561
302,288,138,2020-04-25 13:29:09.131774,2020-04-28 18:40:59.445414
303,841,549,2020-06-22 20:52:44.318399,2020-07-06 04:08:36.742173
304,501,367,2022-11-18 23:58:47.988811,2022-12-01 08:03:57.531120
305,350,871,2023-10-09 13:06:37.898041,2023-10-16 15:42:35.641252
306,443,505,2018-01-24 06:33:11.905177,2018-02-01 13:16:22.076775
307,729,995,2021-05-12 14:17:07.970957,2021-05-18 08:02:07.698049
308,494,501,2022-01-03 10:02:31.170576,2022-01-08 08:32:11.638838
309,192,94,2016-06-17 22:01:59.682138,2016-07-01 22:12:53.728806
310,316,915,2021-08-07 06:09:54.644646,2021-08-14 07:30:20.788897
311,766,335,2017-12-07 11:36:37.364088,2017-12-18 23:43:34.110143
312,225,154,2016-12-06 09:34:59.815519,2016-12-08 17:05:31.542963
313,824,935,2019-10-26 11:39:09.945954,2019-11-02 03:26:33.134906
314,197,623,2018-01-12 03:22:54.869542,2018-01-25 14:17:57.210505
315,597,761,2016-02-05 22:31:51.106716,2016-02-14 15:16:38.799107
316,370,602,2016-01-21 22:17:53.034227,2016-02-04 05:17:09.306882
317,608,556,2016-04-07 18:56:20.556365,2016-04-21 14:12:51.150448
318,488,335,2017-01-16 16:54:57.077759,2017-01-27 22:25:48.007463
319,489,387,2017-11-11 09:17:09.232578,2017-11-15 06:30:23.580557
320,830,512,2018-07-19 19:47:47.717997,2018-07-30 00:17:42.899299
321,218,170,2021-01-16 03:14:17.232919,2021-01-30 13:59:58.102554
322,646,993,2020-08-14 13:18:23.253129,2020-08-27 20:50:02.484540
323,800,347,2017-03-07 07:27:40.582518,2017-03-20 01:32:08.040585
324,613,836,2022-01-30 10:00:39.695244,2022-02-03 09:02:19.836914
325,81,84,2015-08-03 02:15:57.060193,2015-08-12 23:50:01.901371
326,76,535,2021-05-01 11:29:51.404667,2021-05-03 18:48:21.210034
327,949,72,2018-02-01 08:11:53.983384,2018-02-13 08:13:34.041201
328,175,730,2020-05-13 06:21:59.865424,2020-05-24 11:26:18.773484
329,154,616,2017-11-01 18:58:53.968539,2017-11-05 21:08:00.700907
330,369,267,2015-11-15 17:39:44.172543,2015-11-28 06:16:27.922207
331,422,245,2023-04-05 15:33:54.840256,2023-04-12 20:04:50.583900
332,61,478,2015-12-25 23:11:15.690334,2016-01-08 22:19:08.227525
333,719,361,2021-01-13 21:22:52.201342,2021-01-22 13:05:06.570810
334,545,103,2018-10-15 05:55:15.034333,2018-10-23 09:20:38.115092
335,534,855,2020-06-15 22:51:08.692417,2020-06-26 00:15:07.474983
336,797,32,2018-05-02 01:51:41.044683,2018-05-09 14:10:36.011840
337,434,873,2020-09-18 04:11:09.926453,2020-09-25 04:04:20.386077
338,144,738,2018-05-08 13:27:46.474469,2018-05-15 17:47:33.417830
339,893,799,2020-01-12 10:57:19.285012,2020-01-13 16:31:27.819198
340,364,466,2023-04-07 11:37:57.810835,2023-04-10 19:08:01.498130
341,249,839,2022-07-02 06:36:29.427299,2022-07-05 03:10:11.351045
342,350,525,2016-04-03 09:59:24.836305,2016-04-04 10:25:47.703875
343,55,340,2021-06-10 07:31:57.069673,2021-06-17 12:39:55.225305
344,946,513,2020-01-21 07:19:03.989774,2020-02-02 23:34:51.302583
345,794,481,2023-05-07 12:29:54.848616,2023-05-20 06:30:09.317208
346,903,358,2019-07-24 02:47:47.002885,2019-07-30 07:09:30.013511
347,169,142,2017-04-29 15:05:08.527931,2017-04-30 05:04:47.052801
348,730,241,2018-02-27 17:02:58.370182,2018-03-02 13:57:35.656139
349,58,1,2015-04-26 08:26:32.120625,2015-05-07 20:17:11.339702
350,972,898,2022-11-05 03:46:55.250319,2022-11-11 05:54:11.179389
351,228,762,2019-03-27 21:23:47.133142,2019-04-09 01:05:01.922522
352,353,867,2023-05-02 04:49:06.494971,2023-05-11 14:54:06.743199
353,566,338,2021-02-03 02:19:11.276488,2021-02-08 20:51:29.845476
354,28,107,2015-01-11 00:52:29.275123,2015-01-25 03:34:30.846175
355,531,939,2023-02-14 14:44:29.237589,2023-02-19 13:19:44.573314
356,394,940,2018-04-28 12:44:02.090007,2018-05-01 13:34:36.339239
357,483,483,2015-07-16 00:59:13.476438,2015-07-22 16:56:33.593623
358,634,16,2015-02-16 00:27:32.346402,2015-02-18 05:58:20.402442
359,866,485,2016-11-19 23:13:47.666198,2016-11-27 15:28:15.639565
360,315,290,2020-04-12 16:00:47.382729,2020-04-13 23:04:59.837732
361,688,670,2022-08-11 07:10:01.818286,2022-08-25 01:34:16.214501
362,848,538,2019-01-28 20:50:22.189581,2019-02-03 11:46:26.851298
363,261,187,2016-05-30 18:32:27.711919,2016-06-07 09:29:16.100530
364,951,74,2020-01-18 06:43:09.749152,2020-01-25 07:02:36.853730
365,987,245,2017-06-21 22:24:44.380235,2017-07-02 18:49:44.542192
366,392,211,2017-10-19 09:21:37.059175,2017-10-27 17:30:46.708928
367,380,831,2021-11-18 17:33:51.668993,2021-11-22 17:02:35.588191
